call_id,transcript,status,end_reason,duration,cost,created_at
37ba804a-4b3f-4402-b011-cc544bef5fe9,"AI: Hello?
User: Please leave your message for 5 5 1 2 0 8 8 7 4 9.
AI: Hi. This is your name from Q Sidvisor. We help apparel brands avoid costly defects with independent factory inspections. Across China and India. With 24 hour dispatch and photo rich reports, we support brands like Amazon, and IKEA. Uh, I'll send you a WhatsApp. With more details. Talk soon.",ended,silence-timed-out,0,0.0829,2025-08-08T12:54:37.824Z
58c28773-959c-4859-93d8-d8f85af1ec27,"AI: Hello?
User: Forwarded to voice mail The person you're trying to reach is not available. At the tone, please record your message. When you have finished recording, you may hang up.
AI: Hi. Prospect's name. Name from Kwik Advisor. We help apparel brands avoid costly defects with independent factory inspections across China and India. We offer 24 hour dispatch. With photo rich reports, I'll send you a WhatsApp. With more details. Looking forward to, uh, connecting soon.",ended,customer-ended-call,0,0.0625,2025-08-08T12:48:37.788Z
76f36fae-55cc-4fd8-9f44-292fe5326be1,"AI: Hello?
User: Forwarded to voice mail. Hello. Norman speaking.
AI: Voice mail message.
User: Hello? Hello?
AI: Hi, Norman. Alex from QQ Advisor. I know you might hate me because this is the cold call Would you like to hang up or give me 20 seconds?",ended,customer-ended-call,0,0.0846,2025-08-08T12:45:37.809Z
b2c1995a-75cf-464c-9aff-474917b4891a,"AI: Hello?
User: Forwarded to voice mail. The person you're trying to reach is not available. At the tone, please record your message. When you have finished recording, you may hang up.
AI: Hi there. Prospect's name? Is your name, uh, from QC Advisor. Specialize in helping apparel brands avoid costly defects with our independent factory inspections across China and India. Can dispatch within 24 hours and provide photo rich reports. Send a WhatsApp message with more details. Looking forward Catching up. Soon. Take care.",ended,silence-timed-out,0,0.1078,2025-08-08T12:42:37.869Z
68846679-fe68-46e6-94f6-cf67e28ad0f2,"AI: Hello.
User: Put it to voice mail. The person you're trying to reach is not available. At the tone, please record your message. When you have finished recording, you may hang up.
AI: Hi, name. This is agent name from QC Advisor. We help apparel brands avoid costly defects with independent factories inspections across China and India, 24 hour dispatch and photo rich reports. I'll send a quick WhatsApp. With details. Looking forward to connecting. Talk soon.",ended,silence-timed-out,0,0.0982,2025-08-08T12:39:37.772Z
511d406d-ce70-428c-b656-7df7655425aa,"AI: Hello?
User: Call has been forwarded to voice mail. Person you're trying to reach is not available. At the tone, please record your message. When you have finished recording, you may hang up.
AI: Hi there. This is agent name from Q Sidvisor. We help apparel brands avoid costly defects, with independent factories inspections. Across China and India. We offer 24 hour dispatch and deliver photo rich reports follow-up with a WhatsApp message with more details. Hope to connect soon. Take care.",ended,silence-timed-out,0,0.0998,2025-08-08T12:36:38.014Z
936cbd46-8ede-4b02-9fff-b02d63714602,"AI: Hello.
User: Forwarded to voice mail. The person you're trying to reach is not available. At the tone, please record your message. When you have finished recording, you may hang up.
AI: Hi, name. This is agent name from QS Advisor. We help apparel brands avoid costly defects with independent factory inspections. Across China and India. We offer 24 hour dispatch and deliver photo rich reports I'll send a WhatsApp with more details. Talk soon.",ended,silence-timed-out,0,0.1129,2025-08-08T12:33:37.802Z
51a1f52a-8965-4718-971f-d3be46b9e995,"AI: Hello?
User: To voice mail. Person you're trying to reach is not available. At the tone, please record your message. When you have finished recording, you may hang up.
AI: Hi. Prospect name, agent name from QSIDVIZER. We help apparel brands avoid costly defects with independent factory inspections. Across China and India. 24 hour dispatch photo rich reports, send a WhatsApp with details. Talk soon.",ended,silence-timed-out,0,0.0933,2025-08-08T12:30:37.871Z
29b39142-0968-4762-927b-6e2f4689aab0,"AI: Hello?
User: Mikko's. Mikko's Hovink. Yeah.
AI: Hi, Miko. Just
User: Hello?
AI: hi, Miko. This is agent
User: Yeah. Who who who who who's talking?
AI: Hi, Miko. This is agent name. From QSuiteVizor. Um, I know you might hate me because this is a cold call.
User: No. I'm not I'm not Miko. Okay. Please don't call me anymore. Yeah. Okay. Thank you. Bye.",ended,customer-ended-call,0,0.1151,2025-08-08T12:27:37.757Z
17c20132-b99a-47a7-9d11-90f207709705,"AI: Hello.
User: Got the 3 3 auto
AI: Hi there. This is acute advisor. I'm here to assist you. How can I help you today?",ended,silence-timed-out,0,0.059,2025-08-08T12:24:37.746Z
